name,popularity
"Colour of Anyhow, Beverly Glenn-Copeland",19
"My My She Cries, Carole King",19
"Peace In the Valley, Carole King",23
"Come Down Easy, Carole King",29
"Movement 1, Floating Points",34
"Figuración, Almendra",34
"Color Humano, Almendra",35
"Fermín, Almendra",40
"Stereo Colour Cloud (Shaman's Dream), Sampha",41
"Ana No Duerme, Almendra",44
"Real House, Adrianne Lenker",46
"Big Mike's, Dijon",47
"Once A Bunch, Adrianne Lenker",48
"Fool, Adrianne Lenker",49
"Bitter with the Sweet, Carole King",51
"No Machine, Adrianne Lenker",52
"Muchacha (Ojos de Papel), Almendra",55
"two reverse, Adrianne Lenker",57
"She Looked Like Me!, Magdalena Bay",58
"Change, Big Thief",59